,NL -> BE,DE -> BE,FR -> BE,UK -> BE
2020-01-01 0:00,1691,3299,0,0
2020-01-01 1:00,1418,3333,0,0
2020-01-01 2:00,1372,3226,0,0
2020-01-01 3:00,662,2454,0,0
2020-01-01 4:00,335,1142,207,0
2020-01-01 5:00,627,1915,0,0
2020-01-01 6:00,863,2781,0,0
2020-01-01 7:00,871,2171,0,0
2020-01-01 8:00,974,1844,0,0
2020-01-01 9:00,1113,1720,0,0
2020-01-01 10:00,1407,1880,0,0
2020-01-01 11:00,1485,974,0,0
2020-01-01 12:00,1530,1555,0,0
2020-01-01 13:00,1287,771,0,0
2020-01-01 14:00,982,263,0,0
2020-01-01 15:00,1041,0,486,0
2020-01-01 16:00,767,0,1042,0
2020-01-01 17:00,955,0,695,0
2020-01-01 18:00,1832,1,0,0
2020-01-01 19:00,2272,104,0,0
2020-01-01 20:00,2217,467,0,0
2020-01-01 21:00,2359,1009,0,0
2020-01-01 22:00,2676,1800,0,0
2020-01-01 23:00,2702,3770,0,0
2020-01-02 0:00,2282,3655,0,0
2020-01-02 1:00,1893,3993,0,0
2020-01-02 2:00,1313,3722,0,0
2020-01-02 3:00,1244,3287,0,0
2020-01-02 4:00,943,3494,97,0
2020-01-02 5:00,1011,2897,0,0
2020-01-02 6:00,1098,2498,0,0
2020-01-02 7:00,1512,2663,0,0
2020-01-02 8:00,1948,2382,0,0
2020-01-02 9:00,2475,1765,0,0
2020-01-02 10:00,2661,506,0,0
2020-01-02 11:00,2504,626,0,0
2020-01-02 12:00,2292,482,0,0
2020-01-02 13:00,2003,569,0,0
2020-01-02 14:00,1573,675,0,0
2020-01-02 15:00,1390,262,0,0
2020-01-02 16:00,1047,200,0,0
2020-01-02 17:00,1265,2432,200,0
2020-01-02 18:00,2054,2866,0,0
2020-01-02 19:00,2432,3477,0,0
2020-01-02 20:00,2713,3461,0,0
2020-01-02 21:00,2841,3240,0,0
2020-01-02 22:00,2895,3560,0,0
2020-01-02 23:00,2888,3856,0,0
2020-01-03 0:00,2534,4005,0,0
2020-01-03 1:00,2357,4008,0,0
2020-01-03 2:00,2193,4008,0,0
2020-01-03 3:00,2097,3981,0,0
2020-01-03 4:00,2108,2751,0,0
2020-01-03 5:00,1992,3978,0,0
2020-01-03 6:00,2354,3983,0,0
2020-01-03 7:00,2656,3970,0,0
2020-01-03 8:00,2862,4010,0,0
2020-01-03 9:00,2938,3996,0,0
2020-01-03 10:00,3032,3421,0,0
2020-01-03 11:00,3049,3417,0,0
2020-01-03 12:00,3176,3812,0,0
2020-01-03 13:00,2979,3701,0,0
2020-01-03 14:00,2712,3775,0,0
2020-01-03 15:00,2530,3480,0,0
2020-01-03 16:00,1974,3943,0,0
2020-01-03 17:00,2530,2683,0,0
2020-01-03 18:00,3149,3947,0,0
2020-01-03 19:00,3542,2612,0,0
2020-01-03 20:00,2840,3985,0,0
2020-01-03 21:00,2414,3866,0,0
2020-01-03 22:00,3458,37,0,0
2020-01-03 23:00,2740,924,0,0
2020-01-04 0:00,3232,52,0,0
2020-01-04 1:00,1870,3257,0,0
2020-01-04 2:00,2268,454,0,0
2020-01-04 3:00,2073,847,0,0
2020-01-04 4:00,1361,2828,0,0
2020-01-04 5:00,2588,18,0,0
2020-01-04 6:00,2622,2010,0,0
2020-01-04 7:00,2299,3965,0,0
2020-01-04 8:00,2281,3890,0,0
2020-01-04 9:00,2418,2145,0,0
2020-01-04 10:00,2968,0,0,0
2020-01-04 11:00,2596,20,0,0
2020-01-04 12:00,2852,976,0,0
2020-01-04 13:00,2941,885,0,0
2020-01-04 14:00,2657,1233,0,0
2020-01-04 15:00,2950,0,0,0
2020-01-04 16:00,3000,0,0,0
2020-01-04 17:00,2189,3424,0,0
2020-01-04 18:00,2725,4062,0,0
2020-01-04 19:00,2893,1987,0,0
2020-01-04 20:00,3126,3380,0,0
2020-01-04 21:00,3315,2064,0,0
2020-01-04 22:00,3115,4081,0,0
2020-01-04 23:00,3303,4244,0,0
2020-01-05 0:00,2458,4008,0,0
2020-01-05 1:00,2394,4008,0,0
2020-01-05 2:00,2362,3984,0,0
2020-01-05 3:00,2356,2874,0,0
2020-01-05 4:00,2378,2913,0,0
2020-01-05 5:00,2294,3866,0,0
2020-01-05 6:00,2542,3994,0,0
2020-01-05 7:00,2673,2961,0,0
2020-01-05 8:00,2453,4012,0,0
2020-01-05 9:00,2015,3682,0,0
2020-01-05 10:00,2230,4000,0,0
2020-01-05 11:00,2091,4008,0,0
2020-01-05 12:00,2241,4008,0,0
2020-01-05 13:00,2187,4004,0,0
2020-01-05 14:00,2300,3890,0,0
2020-01-05 15:00,2237,3789,0,0
2020-01-05 16:00,2086,3982,0,0
2020-01-05 17:00,2100,4019,0,0
2020-01-05 18:00,2069,3992,0,0
2020-01-05 19:00,2172,3334,0,0
2020-01-05 20:00,2338,3993,0,0
2020-01-05 21:00,2323,4002,0,0
2020-01-05 22:00,2493,3721,0,0
2020-01-05 23:00,2390,3448,0,0
2020-01-06 0:00,2363,417,0,0
2020-01-06 1:00,2573,1439,0,0
2020-01-06 2:00,2173,3049,0,0
2020-01-06 3:00,2119,1776,0,0
2020-01-06 4:00,2156,1305,0,0
2020-01-06 5:00,2592,377,0,0
2020-01-06 6:00,2537,192,0,0
2020-01-06 7:00,1673,2906,0,0
2020-01-06 8:00,2056,3792,0,0
2020-01-06 9:00,2082,3195,0,0
2020-01-06 10:00,1954,3990,0,0
2020-01-06 11:00,1901,4004,0,0
2020-01-06 12:00,1981,3833,0,0
2020-01-06 13:00,1890,3796,0,0
2020-01-06 14:00,1809,4003,0,0
2020-01-06 15:00,1812,4007,0,0
2020-01-06 16:00,1703,3994,0,0
2020-01-06 17:00,1699,3960,0,0
2020-01-06 18:00,1997,3669,0,0
2020-01-06 19:00,2605,28,0,0
2020-01-06 20:00,2042,3543,0,0
2020-01-06 21:00,2075,3520,0,0
2020-01-06 22:00,2308,3143,0,0
2020-01-06 23:00,2116,3484,0,0
2020-01-07 0:00,2943,2374,0,0
2020-01-07 1:00,3026,2856,0,0
2020-01-07 2:00,3013,2111,0,0
2020-01-07 3:00,2798,2665,0,0
2020-01-07 4:00,2851,1932,0,0
2020-01-07 5:00,3142,635,0,0
2020-01-07 6:00,2482,3780,0,0
2020-01-07 7:00,2837,0,0,0
2020-01-07 8:00,2685,0,0,0
2020-01-07 9:00,3193,21,0,0
2020-01-07 10:00,2912,18,0,0
2020-01-07 11:00,2660,0,0,0
2020-01-07 12:00,2887,0,0,0
2020-01-07 13:00,2600,0,0,0
2020-01-07 14:00,2132,652,0,0
2020-01-07 15:00,1460,3425,0,0
2020-01-07 16:00,1276,2368,0,0
2020-01-07 17:00,1254,2129,0,0
2020-01-07 18:00,2877,0,0,0
2020-01-07 19:00,3244,28,0,0
2020-01-07 20:00,2951,13,0,0
2020-01-07 21:00,2041,2302,0,0
2020-01-07 22:00,2925,1458,0,0
2020-01-07 23:00,3301,32,0,0
2020-01-08 0:00,2680,3630,0,0
2020-01-08 1:00,3014,0,0,0
2020-01-08 2:00,2922,0,0,0
2020-01-08 3:00,2627,0,0,0
2020-01-08 4:00,2559,0,0,0
2020-01-08 5:00,2693,0,0,0
2020-01-08 6:00,2431,0,0,0
2020-01-08 7:00,1889,0,0,3005
2020-01-08 8:00,1223,2512,0,313
2020-01-08 9:00,1313,3538,0,0
2020-01-08 10:00,1456,3605,0,0
2020-01-08 11:00,1663,3348,0,0
2020-01-08 12:00,1773,3218,0,0
2020-01-08 13:00,1764,2992,0,0
2020-01-08 14:00,875,2401,0,0
2020-01-08 15:00,1432,2163,0,0
2020-01-08 16:00,1615,2671,0,0
2020-01-08 17:00,1809,3319,0,0
2020-01-08 18:00,2295,2968,0,0
2020-01-08 19:00,2267,3136,0,0
2020-01-08 20:00,2196,3166,0,0
2020-01-08 21:00,2257,3262,0,0
2020-01-08 22:00,2592,3271,0,0
2020-01-08 23:00,2621,3992,0,0
2020-01-09 0:00,3031,3991,0,0
2020-01-09 1:00,3162,3208,0,0
2020-01-09 2:00,2766,3661,0,0
2020-01-09 3:00,2480,4001,0,0
2020-01-09 4:00,2372,4008,0,0
2020-01-09 5:00,2494,4008,0,0
2020-01-09 6:00,2484,4008,0,0
2020-01-09 7:00,2423,4008,0,0
2020-01-09 8:00,2561,4000,0,0
2020-01-09 9:00,2835,3644,0,0
2020-01-09 10:00,2711,3325,0,0
2020-01-09 11:00,2575,3328,0,0
2020-01-09 12:00,2832,3288,0,0
2020-01-09 13:00,2444,3304,0,0
2020-01-09 14:00,2015,2401,0,0
2020-01-09 15:00,1848,523,0,0
2020-01-09 16:00,1363,603,0,0
2020-01-09 17:00,1396,1691,25,0
2020-01-09 18:00,2068,3177,0,0
2020-01-09 19:00,2395,3288,0,0
2020-01-09 20:00,2442,3091,0,0
2020-01-09 21:00,2114,3988,0,0
2020-01-09 22:00,2356,4008,0,0
2020-01-09 23:00,2565,4008,0,0
2020-01-10 0:00,2394,4008,0,0
2020-01-10 1:00,2083,4008,0,0
2020-01-10 2:00,1788,4008,0,0
2020-01-10 3:00,1447,4007,0,0
2020-01-10 4:00,1254,3976,0,0
2020-01-10 5:00,1386,4005,0,0
2020-01-10 6:00,1707,4008,0,0
2020-01-10 7:00,2001,3993,0,0
2020-01-10 8:00,2486,3322,0,0
2020-01-10 9:00,2292,3992,0,0
2020-01-10 10:00,2174,4007,0,0
2020-01-10 11:00,2209,3983,0,0
2020-01-10 12:00,2311,3575,0,0
2020-01-10 13:00,2204,3998,0,0
2020-01-10 14:00,2008,4007,0,0
2020-01-10 15:00,1846,3967,0,0
2020-01-10 16:00,1667,3575,0,0
2020-01-10 17:00,1923,3894,0,0
2020-01-10 18:00,2548,4017,0,0
2020-01-10 19:00,2274,3993,0,0
2020-01-10 20:00,2435,3300,0,0
2020-01-10 21:00,2244,3856,0,0
2020-01-10 22:00,2144,3943,0,0
2020-01-10 23:00,1838,4006,0,0
2020-01-11 0:00,2149,4008,0,0
2020-01-11 1:00,2369,4008,0,0
2020-01-11 2:00,2319,4008,0,0
2020-01-11 3:00,2297,3962,0,0
2020-01-11 4:00,2154,1758,0,0
2020-01-11 5:00,1699,1644,0,0
2020-01-11 6:00,1678,3498,0,0
2020-01-11 7:00,1877,3306,0,0
2020-01-11 8:00,1684,3612,0,370
2020-01-11 9:00,1367,3997,0,0
2020-01-11 10:00,1195,4008,0,0
2020-01-11 11:00,1224,4008,0,0
2020-01-11 12:00,1434,4004,0,0
2020-01-11 13:00,1356,3818,0,0
2020-01-11 14:00,1152,4004,0,0
2020-01-11 15:00,1298,4008,0,0
2020-01-11 16:00,1387,3995,0,0
2020-01-11 17:00,1939,3861,0,0
2020-01-11 18:00,2266,4005,0,0
2020-01-11 19:00,1805,4008,0,0
2020-01-11 20:00,1362,3991,0,0
2020-01-11 21:00,540,3199,0,0
2020-01-11 22:00,142,3985,0,0
2020-01-11 23:00,150,3808,0,0
2020-01-12 0:00,0,4003,0,0
2020-01-12 1:00,0,3996,0,0
2020-01-12 2:00,0,4008,0,0
2020-01-12 3:00,0,3998,0,0
2020-01-12 4:00,0,3995,0,0
2020-01-12 5:00,0,3777,0,0
2020-01-12 6:00,157,3699,0,0
2020-01-12 7:00,0,3959,0,0
2020-01-12 8:00,0,2099,0,0
2020-01-12 9:00,0,1108,0,0
2020-01-12 10:00,29,3947,0,0
2020-01-12 11:00,243,4008,0,0
2020-01-12 12:00,579,4008,0,0
2020-01-12 13:00,852,3983,0,0
2020-01-12 14:00,879,2835,0,0
2020-01-12 15:00,698,3979,0,0
2020-01-12 16:00,1006,3960,0,0
2020-01-12 17:00,930,3935,0,0
2020-01-12 18:00,1325,4025,0,0
2020-01-12 19:00,1574,4108,0,0
2020-01-12 20:00,1406,4067,0,0
2020-01-12 21:00,1595,4106,0,0
2020-01-12 22:00,1898,4335,0,0
2020-01-12 23:00,1979,4170,0,0
2020-01-13 0:00,1722,4026,0,0
2020-01-13 1:00,1530,4125,0,0
2020-01-13 2:00,1589,4106,0,0
2020-01-13 3:00,1526,4018,0,0
2020-01-13 4:00,1322,4008,0,0
2020-01-13 5:00,1504,4008,0,0
2020-01-13 6:00,1665,4003,0,0
2020-01-13 7:00,1445,3673,0,0
2020-01-13 8:00,1676,4001,0,0
2020-01-13 9:00,1747,4004,0,0
2020-01-13 10:00,1830,3828,0,0
2020-01-13 11:00,1908,4004,0,0
2020-01-13 12:00,1760,4005,0,0
2020-01-13 13:00,1757,3979,0,0
2020-01-13 14:00,1491,4008,0,0
2020-01-13 15:00,1271,3989,0,0
