,Z1 -> Z2,Z2 -> Z1,Z1 -> Z3,Z3 -> Z1
01/01/2016 00:00,20,30,10,10
01/01/2016 01:00,20,30,10,10
01/01/2016 02:00,20,30,10,10
01/01/2016 03:00,20,30,10,10
01/01/2016 04:00,20,30,10,10
01/01/2016 05:00,20,30,10,10
01/01/2016 06:00,20,30,10,10
01/01/2016 07:00,20,30,10,10
01/01/2016 08:00,20,30,10,10
01/01/2016 09:00,20,30,10,10
01/01/2016 10:00,20,30,10,10
01/01/2016 11:00,20,30,10,10
01/01/2016 12:00,20,30,10,10
01/01/2016 13:00,20,30,10,10
01/01/2016 14:00,20,30,10,10
01/01/2016 15:00,20,30,10,10
01/01/2016 16:00,20,30,10,10
01/01/2016 17:00,20,30,10,10
01/01/2016 18:00,20,30,10,10
01/01/2016 19:00,20,30,10,10
01/01/2016 20:00,20,30,10,10
01/01/2016 21:00,20,30,10,10
01/01/2016 22:00,20,30,10,10
01/01/2016 23:00,20,30,10,10
