,D1,D2,D3,D4,D5,S1
01/01/2016 00:00,0,0.560703551,0.562645219,0.562645219,0.562645219,1
01/01/2016 01:00,0,0.564622064,0.566577301,0.566577301,0.566577301,1
01/01/2016 02:00,0,0.567739063,0.569705094,0.569705094,0.569705094,1
01/01/2016 03:00,0,0.572191918,0.574173369,0.574173369,0.574173369,1
01/01/2016 04:00,0,0.578514973,0.096753053,0.29025916,0.324394069,1
01/01/2016 05:00,0,0.586685962,0.098119601,0.294358803,0.328975835,1
01/01/2016 06:00,0,0.581921407,0.097322758,0.291968275,0.326304179,1
01/01/2016 07:00,0,0.56012468,0.093677391,0.281032172,0.314081973,1
01/01/2016 08:00,0,0.539975509,0.090307566,0.270922699,0.302783611,1
01/01/2016 09:00,0,0.521763331,0.087261692,0.261785076,0.29257139,1
01/01/2016 10:00,0,0.502972281,0.084119005,0.252357015,0.282034576,1
01/01/2016 11:00,0,0.491572971,0.493275246,0.493275246,0.493275246,1
01/01/2016 12:00,0,0.492730714,0.494436997,0.494436997,0.494436997,1
01/01/2016 13:00,0,0.509094957,0.510857909,0.510857909,0.510857909,1
01/01/2016 14:00,0,0.539574752,0.541443253,0.541443253,0.541443253,1
01/01/2016 15:00,0,0.557074474,0.093167262,0.279501787,0.312371613,1
01/01/2016 16:00,0,0.567004341,0.094827971,0.284483914,0.317939646,1
01/01/2016 17:00,0,0.578114216,0.096686029,0.290058088,0.32416935,1
01/01/2016 18:00,0,0.589736168,0.098629729,0.295889187,0.330686195,1
01/01/2016 19:00,0,0.600667928,0.100457998,0.301373995,0.336816025,1
01/01/2016 20:00,0,0.609261939,0.101895293,0.30568588,0.341634994,1
01/01/2016 21:00,0,0.614850273,0.102829908,0.308489723,0.344768573,1
01/01/2016 22:00,0,0.620794835,0.103824099,0.311472297,0.348101902,1
01/01/2016 23:00,0,0.623911833,0.626072386,0.626072386,0.626072386,1
02/01/2016 00:00,0,0.625047312,0.627211796,0.627211796,0.627211796,1
02/01/2016 01:00,0,0.624223533,0.626385165,0.626385165,0.626385165,1
02/01/2016 02:00,0,0.621952577,0.624106345,0.624106345,0.624106345,1
02/01/2016 03:00,0,0.617366136,0.619504021,0.619504021,0.619504022,1
02/01/2016 04:00,0,0.609729489,0.101973488,0.305920465,0.341897166,1
02/01/2016 05:00,0,0.602070578,0.100692583,0.302077748,0.33760254,1
02/01/2016 06:00,0.598680018,0.58568407,0.097952041,0.293856122,0.328414039,1
02/01/2016 07:00,0.546244879,0.534387176,0.089372952,0.268118856,0.299650032,1
02/01/2016 08:00,0.491715976,0.481041968,0.080451296,0.241353887,0.269737464,1
02/01/2016 09:00,0.440418753,0.430858288,0.072058385,0.216175156,0.241597676,1
02/01/2016 10:00,0.399135184,0.390470889,0.065303843,0.195911528,0.218951015,1
02/01/2016 11:00,0.373353958,0.344813112,0.372260627,0.329229497,0.353307571,1
02/01/2016 12:00,0.40069591,0.385148747,0.395281067,0.380859614,0.38892914,1
02/01/2016 13:00,0.453527538,0.443682511,0.445218946,0.445218945,0.445218945,1
02/01/2016 14:00,0.510878471,0.499788489,0.501519214,0.501519214,0.501519213,1
02/01/2016 15:00,0.528083751,0.516620283,0.086401549,0.259204647,0.289687499,1
02/01/2016 16:00,0.534934001,0.52332183,0.087522341,0.262567024,0.293445297,1
02/01/2016 17:00,0.542762858,0.530980741,0.088803247,0.266409741,0.297739923,1
02/01/2016 18:00,0.550318616,0.538372481,0.09003947,0.270118409,0.301884736,1
02/01/2016 19:00,0.556167501,0.5440944,0.090996425,0.272989276,0.305093221,1
02/01/2016 20:00,0,0.548747634,0.09177465,0.27532395,0.307702456,1
02/01/2016 21:00,0,0.557965045,0.093316205,0.279948615,0.312870988,1
02/01/2016 22:00,0,0.56658132,0.094757224,0.284271671,0.317702442,1
02/01/2016 23:00,0,0.573639096,0.575625559,0.575625559,0.575625558,1
03/01/2016 00:00,0,0.579427808,0.581434316,0.581434316,0.581434316,1
03/01/2016 01:00,0,0.582945564,0.584964254,0.584964254,0.584964254,1
03/01/2016 02:00,0,0.584615385,0.586639857,0.586639857,0.586639857,1
03/01/2016 03:00,0,0.581743293,0.583757819,0.583757819,0.583757819,1
03/01/2016 04:00,0,0.577869309,0.09664507,0.28993521,0.324032022,1
03/01/2016 05:00,0,0.579739508,0.096957849,0.290873548,0.32508071,1
03/01/2016 06:00,0.576809285,0.5642881,0.094373697,0.28312109,0.316416552,1
03/01/2016 07:00,0.510491579,0.499409997,0.083523235,0.250569705,0.280037075,1
03/01/2016 08:00,0.449704142,0.439942113,0.073577599,0.220732797,0.246691302,1
03/01/2016 09:00,0.402708238,0.393966381,0.065888442,0.197665326,0.220911063,1
03/01/2016 10:00,0.358716444,0.334981463,0.05127849,0.139837993,0.180173957,1
03/01/2016 11:00,0.293245644,0.209191363,0.30971878,0.146135138,0.237668387,1
03/01/2016 12:00,0.304521071,0.218336265,0.321317902,0.153763538,0.247518605,1
03/01/2016 13:00,0.379849318,0.307226752,0.390992749,0.25543861,0.331287947,1
03/01/2016 14:00,0.503800637,0.492864299,0.494571046,0.494571046,0.494571046,1
03/01/2016 15:00,0.532225762,0.520672381,0.087079237,0.261237712,0.291959656,1
03/01/2016 16:00,0.534911243,0.523299566,0.087518618,0.262555853,0.293432812,1
03/01/2016 17:00,0.517683204,0.506445508,0.084699881,0.254099643,0.283982138,1
03/01/2016 18:00,0.500341375,0.489480129,0.081862526,0.245587578,0.274469043,1
03/01/2016 19:00,0.495061447,0.484314817,0.08099866,0.242995979,0.271572667,1
03/01/2016 20:00,0,0.488188801,0.081646559,0.244939678,0.273744949,1
03/01/2016 21:00,0,0.493265056,0.082495532,0.247486595,0.276591387,1
03/01/2016 22:00,0,0.496181676,0.082983318,0.248949955,0.27822684,1
03/01/2016 23:00,0,0.498319047,0.500044683,0.500044683,0.500044683,1
04/01/2016 00:00,0,0.499833018,0.501563896,0.501563897,0.501563896,1
04/01/2016 01:00,0,0.500612268,0.502345845,0.502345844,0.502345845,1
04/01/2016 02:00,0,0.500701325,0.50243521,0.50243521,0.50243521,1
04/01/2016 03:00,0,0.499521318,0.501251117,0.501251117,0.501251117,1
04/01/2016 04:00,0,0.496471112,0.083031725,0.249095174,0.278389137,1
04/01/2016 05:00,0,0.490905043,0.082100834,0.246302502,0.275268043,1
04/01/2016 06:00,0.488484297,0.477880441,0.07992255,0.23976765,0.267964682,1
04/01/2016 07:00,0.454369595,0.44450629,0.074340929,0.223022788,0.2492506,1
04/01/2016 08:00,0.406895767,0.398063008,0.066573578,0.199720733,0.223208188,1
04/01/2016 09:00,0.359399181,0.351597462,0.058802502,0.176407507,0.197153292,1
04/01/2016 10:00,0.327469276,0.320360681,0.053578344,0.160735031,0.17963771,1
04/01/2016 11:00,0.319071461,0.312145163,0.313226095,0.313226095,0.313226095,1
04/01/2016 12:00,0.338256714,0.330913949,0.332059875,0.332059875,0.332059875,1
04/01/2016 13:00,0.384501593,0.376154959,0.377457551,0.377457551,0.377457551,1
04/01/2016 14:00,0.423600364,0.414404987,0.415840036,0.415840036,0.415840036,1
04/01/2016 15:00,0.441829768,0.432238673,0.072289246,0.216867739,0.242371708,1
04/01/2016 16:00,0.448406919,0.438673049,0.073365356,0.220096068,0.245979693,1
04/01/2016 17:00,0.454824761,0.444951575,0.074415401,0.223246202,0.249500287,1
04/01/2016 18:00,0.461538462,0.451519537,0.075513852,0.226541555,0.253183179,1
04/01/2016 19:00,0.463905325,0.453835022,0.075901102,0.227703307,0.254481554,1
04/01/2016 20:00,0,0.460091284,0.076947423,0.23084227,0.257989664,1
04/01/2016 21:00,0,0.479082712,0.080123622,0.240370867,0.268638838,1
04/01/2016 22:00,0,0.502794167,0.084089217,0.25226765,0.2819347,1
04/01/2016 23:00,0,0.51577424,0.517560322,0.517560322,0.517560322,1
05/01/2016 00:00,0,0.520048981,0.521849866,0.521849866,0.521849866,1
05/01/2016 01:00,0,0.524056551,0.525871314,0.525871314,0.525871314,1
05/01/2016 02:00,0,0.525659579,0.527479893,0.527479893,0.527479893,1
05/01/2016 03:00,0,0.516353111,0.518141197,0.518141197,0.518141197,1
05/01/2016 04:00,0,0.508204386,0.084994042,0.254982127,0.284968404,1
05/01/2016 05:00,0,0.504797952,0.084424337,0.253273012,0.283058294,1
05/01/2016 06:00,0.507578516,0.496560169,0.083046619,0.249139857,0.278439075,1
05/01/2016 07:00,0.488643605,0.478036291,0.079948615,0.239845845,0.268052073,1
05/01/2016 08:00,0.463131543,0.453078036,0.075774501,0.227323503,0.254057085,1
05/01/2016 09:00,0.440122895,0.430568852,0.072009979,0.216029937,0.241435379,1
05/01/2016 10:00,0.432362312,0.422976734,0.070740244,0.212220733,0.237178207,1
05/01/2016 11:00,0.39782681,0.34383019,0.403293702,0.307780683,0.361225006,1
05/01/2016 12:00,0.409637801,0.354585514,0.415113067,0.317917062,0.3723031,1
05/01/2016 13:00,0.462835685,0.452788601,0.454356568,0.454356568,0.454356568,1
05/01/2016 14:00,0.485389167,0.474852499,0.476496872,0.476496872,0.476496872,1
05/01/2016 15:00,0.501797906,0.490905043,0.082100834,0.246302502,0.275268043,1
05/01/2016 16:00,0.507168867,0.496159412,0.082979595,0.248938785,0.278214356,1
05/01/2016 17:00,0.508557123,0.497517533,0.083206732,0.249620197,0.278975903,1
05/01/2016 18:00,0.510195721,0.499120561,0.083474829,0.250424486,0.279874778,1
05/01/2016 19:00,0.512539827,0.501413782,0.083858356,0.251575067,0.281160669,1
05/01/2016 20:00,0,0.504107759,0.084308907,0.25292672,0.282671279,1
05/01/2016 21:00,0,0.503417567,0.084193476,0.252580429,0.282284263,1
05/01/2016 22:00,0,0.50145831,0.083865803,0.251597408,0.281185638,1
05/01/2016 23:00,0,0.501369253,0.503105451,0.503105451,0.503105451,1
06/01/2016 00:00,0,0.49900924,0.500737265,0.500737266,0.500737265,1
06/01/2016 01:00,0,0.494623177,0.496336014,0.496336014,0.496336014,1
06/01/2016 02:00,0,0.488144272,0.489834674,0.489834674,0.489834674,1
06/01/2016 03:00,0,0.484158967,0.485835568,0.485835567,0.485835568,1
06/01/2016 04:00,0,0.484671045,0.081058237,0.24317471,0.271772417,1
06/01/2016 05:00,0,0.484047646,0.080953977,0.24286193,0.271422855,1
06/01/2016 06:00,0.482294037,0.471824557,0.078909741,0.236729223,0.264568931,1
06/01/2016 07:00,0.437664998,0.42816431,0.071607834,0.214823503,0.240087067,1
06/01/2016 08:00,0.382680929,0.374373817,0.062611707,0.187835121,0.20992481,1
06/01/2016 09:00,0.34019117,0.332806412,0.055659815,0.166979446,0.186616477,1
06/01/2016 10:00,0.306281293,0.299632639,0.050111707,0.150335121,0.168014754,1
06/01/2016 11:00,0.286657096,0.272490659,0.283639282,0.266912602,0.276272018,1
06/01/2016 12:00,0.300159587,0.279667705,0.29859065,0.269162084,0.285628842,1
06/01/2016 13:00,0.34862119,0.294841771,0.355228803,0.25792402,0.312370925,1
06/01/2016 14:00,0.475421029,0.465100746,0.466711349,0.466711349,0.46671135,1
06/01/2016 15:00,0.490350478,0.479706112,0.080227882,0.240683646,0.268988401,1
06/01/2016 16:00,0.47325899,0.462985639,0.077431486,0.232294459,0.259612633,1
06/01/2016 17:00,0.46706873,0.456929756,0.076418677,0.229256032,0.256216883,1
06/01/2016 18:00,0.468889395,0.458710898,0.076716562,0.230149687,0.257215633,1
06/01/2016 19:00,0.467410105,0.45726372,0.076474531,0.229423593,0.256404148,1
06/01/2016 20:00,0,0.460558833,0.077025618,0.231076854,0.258251836,1
06/01/2016 21:00,0,0.464009796,0.07760277,0.232808311,0.260186915,1
06/01/2016 22:00,0,0.466080374,0.077949062,0.233847185,0.261347962,1
06/01/2016 23:00,0,0.468752087,0.470375335,0.470375335,0.470375335,1
07/01/2016 00:00,0,0.472269843,0.473905273,0.473905273,0.473905272,1
07/01/2016 01:00,0,0.475386842,0.477033065,0.477033065,0.477033065,1
07/01/2016 02:00,0,0.476878548,0.478529937,0.478529938,0.478529938,1
07/01/2016 03:00,0,0.478726483,0.480384272,0.480384272,0.480384272,1
07/01/2016 04:00,0,0.477724591,0.079896485,0.239689455,0.267877291,1
07/01/2016 05:00,0,0.474184571,0.079304438,0.237913315,0.265892275,1
07/01/2016 06:00,0,0.467906045,0.078254394,0.234763181,0.262371681,1
07/01/2016 07:00,0,0.451074251,0.07543938,0.226318141,0.252933491,1
07/01/2016 08:00,0,0.43217188,0.072278076,0.216834227,0.242334255,1
07/01/2016 09:00,0,0.408994768,0.068401847,0.205205541,0.229338017,1
07/01/2016 10:00,-0.01574143,0.350127155,0.053420329,0.145109563,0.188035024,1
07/01/2016 11:00,-0.065021837,0.227790774,0.320183415,0.170038771,0.254052227,1
07/01/2016 12:00,-0.081170126,0.191389651,0.306406209,0.118972876,0.223851223,1
07/01/2016 13:00,-0.120560025,0.138111628,0.308436819,0.030046623,0.185819896,1
07/01/2016 14:00,-0.061042851,0.325348957,0.412473772,0.271517172,0.350389457,1
07/01/2016 15:00,0,0.462718468,0.077386804,0.232160411,0.259462821,1
07/01/2016 16:00,0,0.463943003,0.0775916,0.232774799,0.260149461,1
07/01/2016 17:00,0,0.462540354,0.077357015,0.232071046,0.259362946,1
07/01/2016 18:00,0,0.467616609,0.078205987,0.234617962,0.262209384,1
07/01/2016 19:00,0,0.471000779,0.078771969,0.236315907,0.264107009,1
07/01/2016 20:00,0,0.467794723,0.078235776,0.234707328,0.262309259,1
07/01/2016 21:00,0,0.46481131,0.077736819,0.233210456,0.260636352,1
07/01/2016 22:00,0,0.464410553,0.077669794,0.233009383,0.260411633,1
07/01/2016 23:00,0,0.465145274,0.466756032,0.466756032,0.466756032,1
08/01/2016 00:00,0,0.464677725,0.466286863,0.466286863,0.466286863,1
08/01/2016 01:00,0,0.461315819,0.462913316,0.462913315,0.462913315,1
08/01/2016 02:00,0,0.457753534,0.459338695,0.459338695,0.459338695,1
08/01/2016 03:00,0,0.4546588,0.456233244,0.456233244,0.456233244,1
08/01/2016 04:00,0,0.452521429,0.075681412,0.227044236,0.253744976,1
08/01/2016 05:00,0,0.452588222,0.075692583,0.227077748,0.253782429,1
08/01/2016 06:00,0.454733728,0.444862518,0.074400506,0.223201519,0.24945035,1
08/01/2016 07:00,0.41961766,0.410508739,0.068655049,0.205965147,0.230186955,1
